name,type,primaryEmotionId,id
Anger,primary,,1
Sadness,primary,,2
Joy,primary,,3
Fear,primary,,4
Anticipation,primary,,5
Angry,secondary,1,6
Annoyed,secondary,1,7
Disgusted,secondary,1,8
Dissatisfied,secondary,1,9
Confident,secondary,5,10
Enthusiastic,secondary,5,11
Excited,secondary,5,12
Interested,secondary,5,13
Afraid,secondary,4,14
Confused,secondary,4,15
Nervous,secondary,4,16
Surprised,secondary,4,17
Suspicious,secondary,4,18
Grateful,secondary,3,19
Happy,secondary,3,20
Inspired,secondary,3,21
Joyful,secondary,3,22
Loving,secondary,3,23
Relaxed,secondary,3,24
Alienated,secondary,2,25
Disappointed,secondary,2,26
Distressed,secondary,2,27
Embarrassed,secondary,2,28
Sad,secondary,2,29
Vulnerable,secondary,2,30
